"WO #",Unit,"Unit Zone","Property Group",Creation,Activation,"Expected Completion",Closed,"Block Type","Block Start","Block End",Title,Vendor,Operator,Priority,"Show in Owner Area","Charge Type",Status,"Unit Status",Age,Originator,Processor
41796576,"Harbour Happiness",,"Northern Portfolio","08/13/26 01:21 pm",,,N/A,"Not Blocked", , ,"pool toys",N/A,N/A,N/A,No,"No Charge",Pending,Dirty,14,"Maintenance App","Santana Angel"
41796544,"Harbour Happiness",,"Northern Portfolio","08/13/26 01:16 pm","08/14/26 12:32 pm",,N/A,"Not Blocked", , ,entryway,"Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Dirty,14,"Maintenance App","Santana Angel"
41796427,"Harbour Happiness",,"Northern Portfolio","08/13/26 01:08 pm",,,N/A,"Not Blocked", , ,entry,N/A,N/A,N/A,No,"No Charge",Pending,Dirty,14,"Maintenance App","Santana Angel"
41796239,"Gulf & Bay Bayside - 1291",,GBB,"08/13/26 12:54 pm",,,N/A,"Not Blocked", , ,"Guest bathroom vent and fan",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,14,"Maintenance App","Randall Cararese"
41796212,"Gulf & Bay Bayside - 1291",,GBB,"08/13/26 12:52 pm",,,N/A,"Not Blocked", , ,"Master bathroom vent",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,14,"Maintenance App","Randall Cararese"
41794886,"Gulf Horizon",,LUXURY,"08/13/26 11:48 am","08/13/26 09:28 pm",,N/A,"Not Blocked", , ,"kitchen towels and oven mittens","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,14,"Maintenance App","Randall Cararese"
41794840,"Gulf Horizon",,LUXURY,"08/13/26 11:47 am","08/15/26 08:26 am",08/15/26,N/A,"Not Blocked", , ,"fire extinguisher","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,14,"Maintenance App","Randall Cararese"
41793856,"Bayside Paradise",,"Northern Portfolio","08/13/26 10:48 am","08/13/26 09:00 pm",,N/A,"Not Blocked", , ,pool,"Splash Pros LLC",N/A,N/A,No,"No Charge",Active,Occupied,14,"Maintenance App","Santana Angel"
41793784,"Bayside Paradise",,"Northern Portfolio","08/13/26 10:39 am",,,N/A,"Not Blocked", , ,Coffee,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,14,"Maintenance App","Santana Angel"
41793731,"Bayside Paradise",,"Northern Portfolio","08/13/26 10:33 am","08/13/26 09:01 pm",,N/A,"Not Blocked", , ,"Game room","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,14,"Maintenance App","Santana Angel"
41793350,"Bayside Paradise",,"Northern Portfolio","08/13/26 10:19 am",,,N/A,"Not Blocked", , ,dryer,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,14,"Maintenance App","Santana Angel"
41793291,"Bayside Paradise",,"Northern Portfolio","08/13/26 10:12 am",,,N/A,"Not Blocked", , ,"1st floor",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,14,"Maintenance App","Santana Angel"
41793273,"Bayside Paradise",,"Northern Portfolio","08/13/26 10:11 am","08/13/26 12:30 pm",,N/A,"Not Blocked", , ,trash,"T-Wreckz Junk Removal LLC",N/A,N/A,No,"No Charge",Active,Occupied,14,"Maintenance App","Santana Angel"
41781675,"Gulf & Bay Bayside - 1365",,GBB,"08/12/26 04:32 pm","08/12/26 04:32 pm",08/12/26,N/A,"Not Blocked", , ,"stove drip pans","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,"Pending Inspection",15,Management,"McNamara Heather"
41781283,"Villa Milano",,LUXURY,"08/12/26 04:10 pm","08/12/26 04:10 pm",08/12/26,N/A,"Not Blocked", , ,"outside sconces","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,15,Management,"McNamara Heather"
41781224,"Gulf & Bay Bayside - 1365",,GBB,"08/12/26 04:06 pm","08/12/26 04:09 pm",,N/A,"Not Blocked", , ,"Master bathroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,"Pending Inspection",15,Management,"Grajeda Raymundo"
41778835,"Gulf & Bay Bayside - 1269",,GBB,"08/12/26 02:01 pm",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,15,"Maintenance App","Randall Cararese"
41778826,"Gulf & Bay Bayside - 1269",,GBB,"08/12/26 01:59 pm","08/12/26 02:55 pm",,N/A,"Not Blocked", , ,"Kitchen ceiling","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,15,"Maintenance App","Randall Cararese"
41778398,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:32 pm","08/12/26 03:21 pm",,N/A,"Not Blocked", , ,"Window cracked","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,15,"Maintenance App","Santana Angel"
41778359,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:30 pm",,,N/A,"Not Blocked", , ,"Coffee pot",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41778247,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:24 pm",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41778237,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:22 pm",,,N/A,"Not Blocked", , ,"overall clean",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41778086,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:16 pm",,,N/A,"Not Blocked", , ,"pool towels",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41778076,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:14 pm",,,N/A,"Not Blocked", , ,"guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41777849,"Shaker Of Salt",,"Northern Portfolio","08/12/26 01:01 pm",,,N/A,"Not Blocked", , ,"sliding glass door",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41777801,"Shaker Of Salt",,"Northern Portfolio","08/12/26 12:58 pm",,,N/A,"Not Blocked", , ,hallway,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41777748,"Gulf & Bay Bayside - 1350",,GBB,"08/12/26 12:54 pm","08/12/26 03:08 pm",,N/A,"Not Blocked", , ,"downstairs bathroom Tissue holder","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,15,"Maintenance App","Randall Cararese"
41777746,"Shaker Of Salt",,"Northern Portfolio","08/12/26 12:54 pm",,,N/A,"Not Blocked", , ,"primary bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41777213,"Shaker Of Salt",,"Northern Portfolio","08/12/26 12:30 pm",,,N/A,"Not Blocked", , ,"Front Yard",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41776586,"Gulf & Bay Bayside - 1389",,GBB,"08/12/26 11:55 am",,,N/A,"Not Blocked", , ,"The guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Dirty,15,"Maintenance App","Randall Cararese"
41776475,"Gulf & Bay Bayside - 1389",,GBB,"08/12/26 11:47 am","08/12/26 04:30 pm",,N/A,"Not Blocked", , ,"balcony Area","GBB Maintenance",N/A,N/A,No,"No Charge",Active,Dirty,15,"Maintenance App","Randall Cararese"
41776452,"Gulf & Bay Bayside - 1389",,GBB,"08/12/26 11:45 am",,,N/A,"Not Blocked", , ,"The living room couches",N/A,N/A,N/A,No,"No Charge",Pending,Dirty,15,"Maintenance App","Randall Cararese"
41775770,"Gulf & Bay Bayside - 1360",,GBB,"08/12/26 11:01 am",,,N/A,"Not Blocked", , ,"kitchen dishes",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Randall Cararese"
41775552,"Gulf & Bay Bayside - 1360",,GBB,"08/12/26 10:48 am",,,N/A,"Not Blocked", , ,"Master bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Randall Cararese"
41775550,"Turtle House",,Seasonal,"08/12/26 10:48 am",,,N/A,"Not Blocked", , ,entryway,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Santana Angel"
41775526,"Gulf & Bay Bayside - 1360",,GBB,"08/12/26 10:46 am",,,N/A,"Not Blocked", , ,"Master bathroom toilet",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,15,"Maintenance App","Randall Cararese"
41775344,"Turtle House",,Seasonal,"08/12/26 10:35 am","08/12/26 02:05 pm",,N/A,"Not Blocked", , ,"Guest bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,15,"Maintenance App","Santana Angel"
41774995,"Gulf & Bay Bayside - 1365",,GBB,"08/12/26 10:09 am",,,N/A,"Not Blocked", , ,"The master bathroom vent and faucets",N/A,N/A,N/A,No,"No Charge",Pending,"Pending Inspection",15,"Maintenance App","Randall Cararese"
41755068,"Gulf & Bay Bayside - 1328",,GBB,"08/11/26 11:31 am",,,N/A,"Not Blocked", , ,"guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41754935,"Gulf & Bay Bayside - 1328",,GBB,"08/11/26 11:24 am",,,N/A,"Not Blocked", , ,"guest bathroom mirror",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41754910,"Gulf & Bay Bayside - 1328",,GBB,"08/11/26 11:22 am","08/12/26 09:20 am",,N/A,"Not Blocked", , ,"guest bedroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41754900,"Gulf & Bay Bayside - 1328",,GBB,"08/11/26 11:20 am",,,N/A,"Not Blocked", , ,"master bathroom shower",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41754092,"Gulf & Bay Bayside - 1342",,GBB,"08/11/26 10:30 am",,,N/A,"Not Blocked", , ,"The guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41754052,"Gulf & Bay Bayside - 1342",,GBB,"08/11/26 10:28 am","08/11/26 06:26 pm",,N/A,"Not Blocked", , ,"Master bedroom blinds","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41754032,"Gulf & Bay Bayside - 1204",,GBB,"08/11/26 10:26 am","08/11/26 10:27 am",,N/A,"Not Blocked", , ,"Purchase/deliver new recliner","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,16,Management,"Grajeda Raymundo"
41753968,"Gulf & Bay Bayside - 1342",,GBB,"08/11/26 10:22 am",,,N/A,"Not Blocked", , ,"Master bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,16,"Maintenance App","Randall Cararese"
41753866,"Day Dreamer",,"Northern Portfolio","08/11/26 10:12 am",,,N/A,"Not Blocked", , ,"entrance rug dirty",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,16,"Maintenance App","Sierra Mesa Juan"
41740551,"Sandalfoot 4C1",,Sandalfoot,"08/10/26 03:21 pm",,,N/A,"Not Blocked", , ,"Guest bathroom tub drain disconnected",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,17,"Maintenance App","Garcia Kyle"
41723230,"Sandalfoot 1C2",,Sandalfoot,"08/09/26 05:29 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,18,"Maintenance App","Urroz Cesar"
41721350,"Sandalfoot 4D1",,Sandalfoot,"08/09/26 03:27 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,18,"Maintenance App","Urroz Cesar"
41718785,"Signal Inn - Unit 15",,"Signal Inn","08/09/26 12:55 pm",,,N/A,"Not Blocked", , ,"Wall marks/paint chipped/water damage",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,18,"Maintenance App","Urroz Cesar"
41718157,"Signal Inn - Unit 05",,"Signal Inn","08/09/26 12:02 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,18,"Maintenance App","Urroz Cesar"
41712455,"Sandalfoot 5C2",,Sandalfoot,"08/08/26 05:56 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,19,"Maintenance App","Urroz Cesar"
41702102,"Signal Inn - Unit 08",,"Signal Inn","08/08/26 04:21 pm",,,N/A,"Not Blocked", , ,Bathroom,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,19,"Maintenance App","Urroz Cesar"
41701443,"My Great Escape",,"Northern Portfolio","08/08/26 03:45 pm","08/10/26 11:24 am",,N/A,"Not Blocked", , ,"lamp shade damaged","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,19,"Maintenance App","Soria Frausto Sandra"
41700698,"Signal Inn - Unit 09",,"Signal Inn","08/08/26 02:51 pm",,,N/A,"Not Blocked", , ,"Living room",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,19,"Maintenance App","Urroz Cesar"
41700056,"Gulf & Bay Bayside - 1313",,GBB,"08/08/26 02:06 pm","08/09/26 09:27 am",,N/A,"Not Blocked", , ,"living room couches","America's Carpet Masters Services Corp.",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,19,"Maintenance App","Randall Cararese"
41698724,"Sandalfoot 4B3",,Sandalfoot,"08/08/26 12:48 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,19,"Maintenance App","Urroz Cesar"
41698461,"Gulf & Bay Bayside - 1368",,GBB,"08/08/26 12:39 pm","08/08/26 04:52 pm",,N/A,"Not Blocked", , ,"living room couch","America's Carpet Masters Services Corp.",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,19,"Maintenance App","Randall Cararese"
41696156,"Sandalfoot 5B2",,Sandalfoot,"08/08/26 10:04 am","08/08/26 10:04 am",08/08/26,N/A,"Not Blocked", , ,"lanai ceiling fan","Sandalfoot Maintenance",N/A,N/A,No,"No Charge",Active,Occupied,19,Management,"Yelenich Peyton"
41683179,"Gulf & Bay Bayside - 1340",,GBB,"08/07/26 02:43 pm","08/07/26 03:11 pm",,N/A,"Not Blocked", , ,"Guest bathroom","Gulf Coast Property Management",N/A,N/A,No,"No Charge",Active,Occupied,20,"Maintenance App","Randall Cararese"
41681675,"Be Still Beach Retreat",,"Northern Portfolio","08/07/26 01:25 pm","08/07/26 03:27 pm",,N/A,"Not Blocked", , ,"Bath towels","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Dirty,20,"Maintenance App","Santana Angel"
41663609,"zSunset Splash",,"Northern Portfolio","08/06/26 03:36 pm","08/07/26 09:19 am",08/07/26,N/A,"Not Blocked", , ,towels,"Sandra Soria Frausto",N/A,N/A,No,"No Charge",Active,Occupied,21,"Maintenance App","Santana Angel"
41662814,"Gulf & Bay Bayside - 1272",,GBB,"08/06/26 03:01 pm","08/06/26 03:01 pm",08/06/26,N/A,"Not Blocked", , ,"queen comforter replacement","Gulf Coast Maintenance",N/A,N/A,No,Owner,Active,Checked-out/Clean,21,Management,"McNamara Heather"
41659618,"Bali Poolside",,"Northern Portfolio","08/06/26 11:59 am","08/07/26 09:51 am",,N/A,"Not Blocked", , ,"bedroom light",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,21,"Maintenance App","Santana Angel"
41653443,"7th Heaven",,"Northern Portfolio","08/05/26 08:02 pm","08/05/26 08:02 pm",08/06/26,N/A,"Not Blocked", , ,"stains in couches","Carpet Cleaner's Near Me LLC",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,22,Management,"McNamara Heather"
41646245,"Aloha House",,Seasonal,"08/05/26 05:08 pm","08/05/26 05:08 pm",08/05/26,N/A,"Not Blocked", , ,"multiple items from inspection","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,22,Management,"McNamara Heather"
41642247,"Palm Whisper Cottage",,"Central Portfolio","08/05/26 01:29 pm","08/05/26 05:39 pm",,N/A,"Not Blocked", , ,"primary bathroom","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,22,"Maintenance App","Santana Angel"
41640539,"Sun Dappled",,"Central Portfolio","08/05/26 11:57 am","08/05/26 11:57 am",08/05/26,N/A,"Not Blocked", , ,bugs,"Tropic Pest Control",N/A,N/A,No,"No Charge",Active,Reclean,22,Management,"McNamara Heather"
41638945,"Gulf & Bay Bayside - 1366",,GBB,"08/05/26 10:09 am","08/05/26 10:09 am",08/05/26,N/A,"Not Blocked", , ,"Additional linens","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,22,Management,"McNamara Heather"
41638307,"Bali Poolside",,"Northern Portfolio","08/05/26 09:18 am","08/05/26 09:18 am",08/05/26,N/A,"Not Blocked", , ,"Pressure wash pool deck","Elephant Pro, Inc",N/A,N/A,No,"No Charge","Pending Final Closing",Checked-out/Clean,22,Management,"McNamara Heather"
41638032,"Dreams Of Paradise",,"Northern Portfolio","08/05/26 08:49 am","08/05/26 08:49 am",08/05/26,N/A,"Not Blocked", , ,"Debris in pool/ pool looking foggy","Splash Pros LLC",N/A,N/A,No,"No Charge",Active,"Pending Inspection",22,Management,"McNamara Heather"
41625772,"Tropical Gulf Retreat",,"Northern Portfolio","08/04/26 04:30 pm","08/04/26 04:30 pm",08/05/26,N/A,"Not Blocked", , ,"Elock inside closet","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,23,Management,"McNamara Heather"
41618971,"Villa Milano",,LUXURY,"08/04/26 10:49 am","08/04/26 10:49 am",08/04/26,N/A,"Not Blocked", , ,"Lanai fan","Gulf Coast Maintenance",N/A,N/A,No,"No Charge","Pending Final Closing",Occupied,23,Management,"McNamara Heather"
41618390,"Little Bit Of Heaven",,"Central Portfolio","08/04/26 10:21 am",,,N/A,"Not Blocked", , ,"primary bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,23,"Maintenance App","Santana Angel"
41618250,"Little Bit Of Heaven",,"Central Portfolio","08/04/26 10:09 am",,,N/A,"Not Blocked", , ,"reclean needed",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,23,"Maintenance App","Santana Angel"
41608891,"Sandalfoot 1B2",,Sandalfoot,"08/03/26 06:00 pm",,,N/A,"Not Blocked", , ,Couch,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,24,"Maintenance App","Urroz Cesar"
41605094,"Sandalfoot 4A1",,Sandalfoot,"08/03/26 04:57 pm",,,N/A,"Not Blocked", , ,"Left cupboard of microwave",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,24,"Maintenance App","Urroz Cesar"
41604148,"Sandalfoot 2C1",,Sandalfoot,"08/03/26 04:11 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,24,"Maintenance App","Urroz Cesar"
41597335,"Sandalfoot 3C3",,Sandalfoot,"08/03/26 11:25 am","08/03/26 11:25 am",08/14/26,N/A,"Not Blocked", , ,"ceiling fan problem ?","Sandalfoot On-Site Maintenance",N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,24,Management,"Garcia Kyle"
41590481,"Sandalfoot 3B3",,Sandalfoot,"08/02/26 06:51 pm","08/03/26 11:36 am",,N/A,"Not Blocked", , ,Bathroom,"Sandalfoot On-Site Maintenance",N/A,N/A,No,Owner,"Pending Final Closing",Occupied,25,"Maintenance App","Urroz Cesar"
41585753,"Sandalfoot 3A2",,Sandalfoot,"08/02/26 05:32 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,25,"Maintenance App","Urroz Cesar"
41585305,"Sandalfoot 3C1",,Sandalfoot,"08/02/26 04:57 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,25,"Maintenance App","Urroz Cesar"
41583906,"Sandalfoot 4D1",,Sandalfoot,"08/02/26 03:16 pm",,,N/A,"Not Blocked", , ,"Wall Marks",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,25,"Maintenance App","Urroz Cesar"
41581111,"Signal Inn - Unit 18",,"Signal Inn","08/02/26 12:00 pm","08/19/26 09:40 am",,N/A,"Not Blocked", , ,"Missing TLC  tv remote upstairs. I checked drawers, under befs, etc.",N/A,N/A,N/A,No,Owner,"Pending Final Closing",Occupied,25,"Maintenance App","Johnson Michelle"
41570500,"Signal Inn - Unit 14",,"Signal Inn","08/01/26 04:42 pm","08/18/26 10:40 am",,N/A,"Not Blocked", , ,"door knob loose",N/A,N/A,N/A,No,Owner,Pending,Occupied,26,"Maintenance App","Johnson Michelle"
41570144,"Signal Inn - Unit 14",,"Signal Inn","08/01/26 04:27 pm",,,N/A,"Not Blocked", , ,"mold on caulk",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,26,"Maintenance App","Johnson Michelle"
41569573,"Signal Inn - Unit 17",,"Signal Inn","08/01/26 03:50 pm",,,N/A,"Not Blocked", , ,"slider lock broke",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,26,"Maintenance App","Johnson Michelle"
41564499,"Gulf & Bay Bayside - 1385",,GBB,"08/01/26 10:20 am","08/03/26 04:48 pm",,N/A,"Not Blocked", , ,"beach chairs",N/A,N/A,N/A,No,"No Charge",Active,Checked-out/Clean,26,"Maintenance App","Matthews Travis"
41563788,"Gulf & Bay Bayside - 1200",,GBB,"08/01/26 09:26 am",,,N/A,"Not Blocked", , ,"Master bathroom showerhead",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,26,"Maintenance App","Randall Cararese"
41563777,"Gulf & Bay Bayside - 1200",,GBB,"08/01/26 09:25 am",,,N/A,"Not Blocked", , ,"Master bathroom vent",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,26,"Maintenance App","Randall Cararese"
41549713,"Sandalfoot 1D1",,Sandalfoot,"07/31/26 05:03 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,27,"Maintenance App","Urroz Cesar"
41547306,"Sandalfoot 5B2",,Sandalfoot,"07/31/26 03:07 pm",,,N/A,"Not Blocked", , ,"Wall marks",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,27,"Maintenance App","Urroz Cesar"
41545303,"Sandalfoot 4B3",,Sandalfoot,"07/31/26 01:37 pm",,,N/A,"Not Blocked", , ,"Wall(s) touch-up",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,27,"Maintenance App","Urroz Cesar"
41527963,"Sandalfoot 1B1",,Sandalfoot,"07/30/26 03:58 pm",,,N/A,"Not Blocked", , ,Marks,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,28,"Maintenance App","Urroz Cesar"
41526017,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 02:15 pm","07/30/26 03:30 pm",,N/A,"Not Blocked", , ,doorbell,N/A,N/A,N/A,No,"No Charge",Active,Occupied,28,"Maintenance App","Santana Angel"
41526002,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 02:14 pm",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,28,"Maintenance App","Santana Angel"
41525846,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 02:07 pm",,,N/A,"Not Blocked", , ,"Guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,28,"Maintenance App","Santana Angel"
41525816,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 02:05 pm",,,N/A,"Not Blocked", , ,"Guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,28,"Maintenance App","Santana Angel"
41525796,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 02:03 pm",,,N/A,"Not Blocked", , ,"Guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,28,"Maintenance App","Santana Angel"
41525596,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 01:54 pm",,,N/A,"Not Blocked", , ,"Guest bathroom",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,28,"Maintenance App","Santana Angel"
41525284,"Gulf & Bay Bayside - 1366",,GBB,"07/30/26 01:34 pm",,,N/A,"Not Blocked", , ,trash,N/A,N/A,N/A,No,"No Charge",Pending,Occupied,28,"Maintenance App","Santana Angel"
41523250,"Gulf & Bay Bayside - 1382",,GBB,"07/30/26 12:05 pm","07/30/26 02:48 pm",,N/A,"Not Blocked", , ,"Multiple items from inspection","Gulf Coast Maintenance",N/A,N/A,No,"No Charge",Active,Checked-out/Clean,28,"Maintenance App","Santana Angel"
41513799,"Sandalfoot 5D1",,Sandalfoot,"07/29/26 06:34 pm",,,N/A,"Not Blocked", , ,"Living room walls",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,29,"Maintenance App","Urroz Cesar"
41505743,"Signal Inn - Unit 02",,"Signal Inn","07/29/26 02:43 pm","07/29/26 02:43 pm",07/29/26,N/A,"Not Blocked", , ,"2 pet fee added","Gulf Coast Vacation Rentals",N/A,N/A,Yes,"No Charge","Pending Final Closing",Checked-out/Clean,29,Management,"Consigna Vernice"
41505406,"Sandalfoot 2A2",,Sandalfoot,"07/29/26 02:24 pm",,,N/A,"Not Blocked", , ,"Guest bedroom",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Urroz Cesar"
41502890,"Shaker Of Salt",,"Northern Portfolio","07/29/26 12:03 pm",,,N/A,"Not Blocked", , ,"pool towels",N/A,N/A,N/A,No,"No Charge",Pending,Occupied,29,"Maintenance App","Santana Angel"
41502233,"Gulf & Bay Bayside - 1343",,GBB,"07/29/26 11:36 am",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Randall Cararese"
41502208,"Gulf & Bay Bayside - 1343",,GBB,"07/29/26 11:34 am",,,N/A,"Not Blocked", , ,"Master bathroom and guest bathroom vents",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Randall Cararese"
41502150,"Gulf & Bay Bayside - 1343",,GBB,"07/29/26 11:31 am",,,N/A,"Not Blocked", , ,"bathroom towel",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Randall Cararese"
41502122,"Gulf & Bay Bayside - 1343",,GBB,"07/29/26 11:30 am",,,N/A,"Not Blocked", , ,"living room",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Randall Cararese"
41502083,"Gulf & Bay Bayside - 1343",,GBB,"07/29/26 11:27 am",,,N/A,"Not Blocked", , ,kitchen,N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Randall Cararese"
41502040,"Gulf & Bay Bayside - 1343",,GBB,"07/29/26 11:23 am",,,N/A,"Not Blocked", , ,"guest book",N/A,N/A,N/A,No,"No Charge",Pending,Checked-out/Clean,29,"Maintenance App","Randall Cararese"
